customerID,Churn,Churn_Binary,tenure,MonthlyCharges,TotalCharges,recency_score,frequency_score,monetary_score,rfm_score,n_services,charges_per_service,is_new_customer,is_senior_no_support,gender_Female,gender_Male,SeniorCitizen_No,SeniorCitizen_Yes,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
6865-JZNKO,No,0,30,55.3,1530.6,3,1,2,6,2,27.65,0,0,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
6467-CHFZW,Yes,1,47,99.35,4749.15,4,1,4,9,3,33.11666666666667,0,0,False,True,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
8665-UTDHZ,Yes,1,1,30.2,30.2,1,1,1,3,1,30.2,1,0,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
5248-YGIJN,No,0,72,90.25,6369.45,5,5,4,14,6,15.041666666666666,0,0,False,True,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
8773-HHUOZ,Yes,1,17,64.7,1093.1,2,1,2,5,2,32.35,0,0,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True
3841-NFECX,No,0,71,96.35,6766.95,5,5,4,14,4,24.0875,0,0,True,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False
4929-XIHVW,No,0,2,95.5,181.65,1,1,4,6,3,31.833333333333332,1,1,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
6827-IEAUQ,No,0,27,66.15,1874.45,3,3,2,8,4,16.5375,0,0,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True
7310-EGVHZ,No,0,1,20.2,20.2,1,1,1,3,0,20.2,1,0,False,True,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False
3413-BMNZE,No,0,1,45.25,45.25,1,1,2,4,0,45.25,1,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
6234-RAAPL,No,0,72,99.9,7251.7,5,5,4,14,4,24.975,0,0,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,True,False,False,False
6047-YHPVI,Yes,1,5,69.7,316.9,1,1,2,4,0,69.7,1,0,False,True,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
6572-ADKRS,No,0,46,74.8,3548.3,4,1,3,8,1,74.8,0,0,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
5380-WJKOV,Yes,1,34,106.35,3549.25,3,1,4,8,4,26.5875,0,0,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
8168-UQWWF,Yes,1,11,97.85,1105.4,1,1,4,6,3,32.61666666666667,1,0,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False
8865-TNMNX,No,0,10,49.55,475.7,1,3,2,6,1,49.55,1,0,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True
9489-DEDVP,No,0,70,69.2,4872.35,5,5,2,12,3,23.066666666666666,0,0,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
9867-JCZSP,No,0,17,20.75,418.25,2,3,1,6,0,20.75,0,0,True,False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
4671-VJLCL,No,0,63,79.85,4861.45,5,5,3,13,5,15.969999999999999,0,0,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
4080-IIARD,No,0,13,76.2,981.45,2,1,3,6,4,19.05,0,0,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False
3714-NTNFO,No,0,49,84.5,3906.7,5,1,3,9,1,84.5,0,0,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
5948-UJZLF,No,0,2,49.25,97.0,1,1,2,4,1,49.25,1,0,False,True,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
7760-OYPDY,Yes,1,2,80.65,144.15,1,1,3,5,1,80.65,1,0,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False
7639-LIAYI,No,0,52,79.75,4217.8,5,5,3,13,4,19.9375,0,0,False,True,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
2954-PIBKO,No,0,69,64.15,4254.1,5,5,2,12,3,21.383333333333336,0,0,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False
8012-SOUDQ,No,0,43,90.25,3838.75,4,1,4,9,2,45.125,0,1,True,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False
9420-LOJKX,Yes,1,15,99.1,1426.4,2,1,4,7,4,24.775,0,0,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
6575-SUVOI,No,0,25,69.5,1752.65,3,1,2,6,3,23.166666666666668,0,0,True,False,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
7495-OOKFY,Yes,1,8,80.65,633.3,1,1,3,5,1,80.65,1,1,True,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
4667-QONEA,No,0,60,74.85,4456.35,5,3,3,11,5,14.969999999999999,0,0,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False
1658-BYGOY,Yes,1,18,95.45,1752.55,2,1,4,7,2,47.725,0,1,False,True,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
8769-KKTPH,No,0,63,99.65,6311.2,5,3,4,12,3,33.21666666666667,0,0,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False
5067-XJQFU,No,0,66,108.45,7076.35,5,3,4,12,5,21.69,0,0,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False
3957-SQXML,No,0,34,24.95,894.3,3,5,1,9,0,24.95,0,0,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False
5954-BDFSG,No,0,72,107.5,7853.7,5,5,4,14,4,26.875,0,0,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
0434-CSFON,No,0,47,100.5,4707.1,4,1,4,9,3,33.5,0,0,True,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
1215-FIGMP,No,0,60,89.9,5450.7,5,1,4,10,2,44.95,0,0,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False
0526-SXDJP,No,0,72,42.1,2962.0,5,5,2,12,3,14.033333333333333,0,0,False,True,True,False,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,False
0557-ASKVU,No,0,18,54.4,957.1,2,3,2,7,2,27.2,0,0,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
5698-BQJOH,Yes,1,9,94.4,857.25,1,1,4,6,2,47.2,1,0,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False
5122-CYFXA,No,0,3,75.3,244.1,1,1,3,5,4,18.825,1,0,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
8627-ZYGSZ,No,0,47,78.9,3650.35,4,3,3,10,1,78.9,0,0,False,True,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False
3410-YOQBQ,No,0,31,79.2,2497.2,3,5,3,11,5,15.84,0,0,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
3170-NMYVV,No,0,50,20.15,930.9,5,5,1,11,0,20.15,0,0,True,False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False
7410-OIEDU,No,0,10,79.85,887.35,1,1,3,5,2,39.925,1,0,False,True,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
2273-QCKXA,No,0,1,49.05,49.05,1,1,2,4,1,49.05,1,0,False,True,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
0731-EBJQB,No,0,52,20.4,1090.65,5,3,1,9,0,20.4,0,0,True,False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
1891-QRQSA,No,0,64,111.6,7099.0,5,5,4,14,5,22.32,0,0,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False
8028-PNXHQ,No,0,62,24.25,1424.6,5,5,1,11,0,24.25,0,0,False,True,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False
5630-AHZIL,No,0,3,64.5,177.4,1,1,2,4,3,21.5,1,0,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False
2673-CXQEU,No,0,56,110.5,6139.5,5,3,4,12,5,22.1,0,1,True,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False
6416-JNVRK,No,0,46,55.65,2688.85,4,3,2,9,1,55.65,0,0,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False
5590-ZSKRV,No,0,8,54.65,482.25,1,1,2,4,2,27.325,1,0,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
0191-ZHSKZ,No,0,30,74.75,2111.3,3,1,3,7,4,18.6875,0,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
3887-PBQAO,No,0,45,25.9,1216.6,4,3,1,8,0,25.9,0,0,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
5919-TMRGD,Yes,1,1,79.35,79.35,1,1,3,5,1,79.35,1,0,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False
8108-UXRQN,No,0,11,50.55,565.35,1,1,2,4,3,16.849999999999998,1,0,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False
9191-MYQKX,Yes,1,7,75.15,496.9,1,1,3,5,1,75.15,1,0,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
9919-YLNNG,No,0,42,103.8,4327.5,4,1,4,9,5,20.759999999999998,0,0,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False
0318-ZOPWS,No,0,49,20.15,973.35,5,5,1,11,0,20.15,0,0,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False
4445-ZJNMU,No,0,9,99.3,918.75,1,1,4,6,3,33.1,1,0,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
4808-YNLEU,No,0,35,62.15,2215.45,3,3,2,8,2,31.075,0,0,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False
1862-QRWPE,No,0,48,20.65,1057.0,4,5,1,10,0,20.65,0,0,True,False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False
2796-NNUFI,No,0,46,19.95,927.1,4,5,1,10,0,19.95,0,0,True,False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
3016-KSVCP,No,0,29,33.75,1009.25,3,1,1,5,1,33.75,0,0,False,True,True,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True
4767-HZZHQ,No,0,30,82.05,2570.2,3,1,3,7,2,41.025,0,0,False,True,True,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
2424-WVHPL,No,0,1,74.7,74.7,1,1,3,5,1,74.7,1,0,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
7233-PAHHL,No,0,66,84.0,5714.25,5,5,3,13,5,16.8,0,0,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
6067-NGCEU,No,0,65,111.05,7107.0,5,1,4,10,5,22.21,0,0,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
9848-JQJTX,No,0,72,100.9,7459.05,5,5,4,14,4,25.225,0,0,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False
8637-XJIVR,Yes,1,12,78.95,927.35,1,1,3,5,1,78.95,0,0,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
9803-FTJCG,No,0,71,66.85,4748.7,5,3,2,10,3,22.28333333333333,0,0,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
0278-YXOOG,Yes,1,5,21.05,113.85,1,1,1,3,0,21.05,1,0,False,True,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True
3212-KXOCR,No,0,52,21.0,1107.2,5,5,1,11,0,21.0,0,0,False,True,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False
4598-XLKNJ,Yes,1,25,98.5,2514.5,3,1,4,8,4,24.625,0,1,True,False,False,True,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
